name,country,city,employees,bucket,source,specialty,build_signal,source_url,oncology_tags,tier,score,score_breakdown,exclusion_reason,growth_12m_pct,growth_3m_pct,follower_growth_12m_pct,last_funding_round,last_funding_date,total_investment_usd,role_eng_pct,role_ops_pct,role_research_pct,role_qa_pct,rev_lower_usd,rev_higher_usd,founded_year,acquisition_status,ipo_date,follower_count,linkedin_id_resolved
Primopus,CHE,Muttenz,41,cdmo_classic,crustdata,"Pharmaceutical Manufacturing / Primopus AG Primopus is a CMO/CDMO and producer of complex RSM’s, GMP intermedia",0.0% growth,http://www.primopus.com,,Tier 2,5,industry=3/3 capability=1/2 size=0/2 trigger=1/2,,0.0,2.5,30.17751479289941,,,0,,,,,10000000,20000000,2022,,,880,88968819
ARTHEx Bio / Cimeio Therapeutics,CHE,Basel,~40,atmp_cell_gene,research,Shielded cell therapy (HSC editing),2024 $80M Series A,https://cimeiotx.com,,Tier 2,5,industry=3/3 capability=2/2 size=0/2 trigger=0/2,,,,,,,,,,,,,,,,,,
Marinomed Biotech,AUT,Korneuburg,~40,"atmp_cell_gene,late_stage_biotech",research,Carragelose (iota-carrageenan) — respiratory virus OTC,FDA approval pursued via P&G partnership; targeted 2024–2025 launch in US,https://www.marinomed.com/en,,Tier 2,5,industry=3/3 capability=2/2 size=0/2 trigger=0/2,,0.0,2.5,13.897435897435898,post_ipo_equity,2025-09-16,8684215,,,,,5000000,10000000,2006,,2019-02-01,4442,18165472
Versameb / VectorY (CH branch),CHE,Basel,~40,atmp_cell_gene,research,"mRNA (Versameb), AAV (VectorY)",Versameb VMB-100 IND 2025; Basel HQ retained,https://www.versameb.com,,Tier 2,5,industry=3/3 capability=2/2 size=0/2 trigger=0/2,,-55.55555555555556,-42.857142857142854,12.340425531914894,seed,2023-06-14,28134919,,,,,1000000,2500000,2017,,,2904,10964132
biosyn Arzneimittel GmbH,DEU,Fellbach,39,"cdmo_classic,vaccines",crustdata+research,Pharmaceutical Manufacturing / More than 40 Years of Experience | Research & CareWe are research. We are biosyn,5.405405405405405% growth,https://www.biosyn.de,oncology_general,Tier 2,5,industry=3/3 capability=1/2 size=0/2 trigger=1/2,,5.405405405405405,2.631578947368421,0.0,,,0,,,,,10000000,20000000,1984,,,880,3339217
BAG Health Care GmbH,DEU,Lich,38,sterile_generics,crustdata,"Pharmaceutical Manufacturing / BAG Health Care GmbH is a company located in Amtsgerichtsstr. 1-5, Lich, Lich He",-13.636363636363635% growth,http://www.bag-germany.com,,Tier 2,5,industry=3/3 capability=1/2 size=0/2 trigger=1/2,,-13.636363636363635,-2.564102564102564,30.743982494529543,,,0,,,,,10000000,20000000,1947,,,1195,8636616
Ethris,DEU,Krailling,38,"atmp_cell_gene,late_stage_biotech",crustdata+research+research,Biotechnology / Ethris is paving a new path from genes to therapeutic proteins using our proprie,Phase 1 ETH47 (inhaled mRNA) start 2024; Munich GMP partnership announced 2025,https://www.ethris.com/,,Tier 2,5,industry=3/3 capability=2/2 size=0/2 trigger=0/2,,-24.0,-5.0,31.97295943915874,grant,2025-05-06,106751479,,,,,20000000,50000000,2009,,,5271,3851060
MEGGLE Excipients,DEU,Wasserburg am Inn,38,sterile_generics,crustdata,Pharmaceutical Manufacturing / Welcome to the official LinkedIn profile of MEGGLE Business Unit Excipients. MEG,0.0% growth,http://www.meggle-excipients.com,,Tier 2,5,industry=3/3 capability=1/2 size=0/2 trigger=1/2,,0.0,0.0,0.0,,,0,,,,,500000000,1000000000,,,,4880,17936245
TissUse GmbH,DEU,Berlin,38,cdmo_classic,crustdata,"Biotechnology Research / TissUse is a Berlin, Germany-based, biotechnology company, which has developed a",15.151515151515152% growth,http://www.tissuse.com,,Tier 2,5,industry=3/3 capability=1/2 size=0/2 trigger=1/2,,15.151515151515152,-2.564102564102564,45.20602747032938,,,0,,,,,1000000,2500000,2010,,,10889,18493207
Denk Ingredients,DEU,Munich,37,cdmo_classic,crustdata,"Pharmaceutical Manufacturing / We create access to Ingredients - since 1986.Headquartered in Munich, Germany, D",-7.5% growth,https://www.denkingredients.de/,,Tier 2,5,industry=3/3 capability=1/2 size=0/2 trigger=1/2,,-7.5,-7.5,23.8125,,,0,,,,,2500000,5000000,1986,,,3962,10359532
Heidelberg Pharma Research GmbH,DEU,Ladenburg,37,oncology_hpapi,crustdata,"biotechnology research / For current information on Heidelberg Pharma Research GmbH, please refer to the ",,http://heidelberg-pharma.com,"adc,cytostatika_hpapi,oncology_general",Tier 2,5,industry=3/3 capability=2/2 size=0/2 trigger=0/2,,-27.450980392156865,-27.450980392156865,0.0,,,,,,,,20000000,50000000,1999,,,992,7345514
Vibalogics,DEU,Cuxhaven,37,"atmp_cell_gene,cdmo_classic,vaccines",crustdata+research+research,Biotechnology Research / Vibalogics (now part of Recipharm) is a full-service CDMO offering process techn,Boston site complements Cuxhaven; Cuxhaven adenovirus capacity expanded 2024,http://www.recipharm-ab.com,,Tier 2,5,industry=3/3 capability=2/2 size=0/2 trigger=0/2,,-11.904761904761903,0.0,1.6725515703400855,,,0,,,,,50000000,100000000,2001,acquired,,5471,1235260
FoRx Therapeutics,CHE,Basel,36,oncology_hpapi,crustdata,biotechnology research / FoRx Therapeutics is a recently incorporated privately-held company based in Bas,,https://www.FoRxTx.com,,Tier 2,5,industry=3/3 capability=2/2 size=0/2 trigger=0/2,,5.88235294117647,0.0,27.68673780487805,series_a,2025-12-18,109448506,,,,,1000000,2500000,2019,,,6701,52177350
Swiss BioQuant AG,CHE,Reinach,36,cdmo_classic,crustdata,Biotechnology Research / Swiss BioQuant is a bioanalytical contract research organization (CRO) specializ,5.88235294117647% growth,http://www.swissbioquant.com/,,Tier 2,5,industry=3/3 capability=1/2 size=0/2 trigger=1/2,,5.88235294117647,0.0,27.74703557312253,,,0,,,,,1000000,2500000,2007,,,1616,11128353
CANNERALD®,CHE,Fraubrunnen,35,medical_cannabis,crustdata+research,Pharmaceutical Manufacturing / Medical cannabis - crafted in Switzerland. Cannerald® is dedicated to unlocking ,Pursuing GMP/GACP; state-of-the-art expansion 2023–25,http://www.cannerald.com,,Tier 2,5,industry=2/3 capability=1/2 size=0/2 trigger=2/2,,-20.454545454545457,-2.7777777777777777,7.841068917018284,,,0,,,,,2500000,5000000,2017,,,3067,18502475
BioVersys,CHE,Basel,~33,late_stage_biotech,research,BV100 (rifabutin IV) — CRAB hospital pneumonia (HABP/VABP),IPO SIX Feb 2025; FDA cleared Ph3; Ph3 initiated Dec 2025; orphan + QIDP designations,[BioVersys / GlobeNewswire](https://www.globenewswire.com/news-release/2025/12/11/3203614/0/en/BioVersys-Announces-BV100-Phase-3-Initiation-and-Provides-a-Business-Update.html),,Tier 2,5,industry=3/3 capability=1/2 size=0/2 trigger=1/2,,,,,,,,,,,,,,,,,,
Abera Bioscience / RhoVac (DE-Nordic),DEU,Berlin (rep),~30,atmp_cell_gene,research,Vaccine vector,DE-AT clinical sites 2024–25,https://www.aberabio.com,,Tier 2,5,industry=3/3 capability=2/2 size=0/2 trigger=0/2,,-7.142857142857142,0.0,30.328295987493487,,,0,,,,,1000000,2500000,2012,,,2501,6904857
Apeiron Biologics,AUT,Vienna,~30,"atmp_cell_gene,late_stage_biotech",research,APN-01 (rhACE2) — ARDS / COVID; APN401 (oncology),Late-stage clinical — Ph2/3 development for Qarziba follow-on; in-house biologics mfg,[LISAvienna](https://www.lisavienna.at/news/detail/lisavienna-vienna-austrias-biggest-life-science-city-is-growing/),oncology_general,Tier 2,5,industry=3/3 capability=2/2 size=0/2 trigger=0/2,,,,,,,,,,,,,,,,,,
Limula,CHE,Lausanne (EPFL),~30,atmp_cell_gene,research,Decentralised CAR-T mfg (point-of-care device),2024 €15M Series A; 2025 first hospital pilots,https://limula.ch,oncology_celltherapy,Tier 2,5,industry=3/3 capability=2/2 size=0/2 trigger=0/2,,4.0,-7.142857142857142,22.353520433284096,debt_financing,2024-12-11,15744803,,,,,1000000,2500000,2020,,,7455,11862454
Marinomed / Phenogy / Vienna ATMP startups,AUT,Vienna / Linz,~30,atmp_cell_gene,research,iPSC-derived cardiomyocytes (Phenogy),2025 Phenogy Series A,https://phenogy.com,,Tier 2,5,industry=3/3 capability=2/2 size=0/2 trigger=0/2,,57.692307692307686,2.5,123.75634517766498,,,0,,,,,1000000,2500000,,,,2204,66944754
MyoPax,DEU,Berlin,~30,atmp_cell_gene,research,"Muscle stem cell therapy, AAV",EUR 13M Series A 2024; Berlin BIH translational space,https://www.myopax.com,,Tier 2,5,industry=3/3 capability=2/2 size=0/2 trigger=0/2,,0.0,0.0,51.75965665236052,grant,2025-02-17,1300000,,,,,500000,1000000,2022,,,1768,86304529
ViGeneron-Vivet / Akouos CH cluster,CHE,Zurich,~30,atmp_cell_gene,research,AAV / CAR-T enabling tech,2025 Pfizer partnership,https://vigeneron.com,oncology_celltherapy,Tier 2,5,industry=3/3 capability=2/2 size=0/2 trigger=0/2,,-33.33333333333333,-11.11111111111111,23.937153419593347,series_a,2024-12-23,0,,,,,500000,1000000,2017,,,1341,37022907
Vivabiocell / Promethera DE,DEU,Heidelberg,~30,atmp_cell_gene,research,Allogeneic liver-derived stem cells,2025 pipeline restart,https://www.bioregio-stern.de,,Tier 2,5,industry=3/3 capability=2/2 size=0/2 trigger=0/2,,6.666666666666667,-5.88235294117647,43.054277828886846,,,,,,,,500000,1000000,2001,,,1555,91652213
CARTHERA / CARTHERA-DE,DEU,Heidelberg,~25,atmp_cell_gene,research,Allogeneic NK / CAR-NK,2024 academic spinout; 2025 first-in-human,https://www.bioregio-stern.de,oncology_celltherapy,Tier 2,5,industry=3/3 capability=2/2 size=0/2 trigger=0/2,,6.666666666666667,-5.88235294117647,43.054277828886846,,,,,,,,500000,1000000,2001,,,1555,91652213
Kyona Therapeutics (ex-Avrobio CH unit),CHE,Zurich,~25,atmp_cell_gene,research,Lentiviral gene therapy,Restructured 2024 around plato platform CH operations,https://www.kyonatx.com,,Tier 2,5,industry=3/3 capability=2/2 size=0/2 trigger=0/2,,,,,,,,,,,,,,,,,,
Touchlight Genetics (DE branch via partner),DEU,Frankfurt area (partner),~20 (DE rep),atmp_cell_gene,research,Doggybone DNA (dbDNA),DACH partnership announcements 2024 with mRNA developers,https://www.touchlight.com/news,,Tier 2,5,industry=3/3 capability=2/2 size=0/2 trigger=0/2,,0.0,0.0,0.0,,,,,,,,0,0,,,,1,21767017
PAFFREDA Therapeutics,DEU,Munich,~15,atmp_cell_gene,research,AAV gene therapy,Seed extension 2024; targeting orphan AAV indications,https://www.paffreda.com,,Tier 2,5,industry=3/3 capability=2/2 size=0/2 trigger=0/2,,,,,,,,,,,,,,,,,,
Araris Biotech,CHE,Schlieren,,late_stage_biotech,research,ADC linker tech,Becomes part of Taiho mfg; Schlieren R&D + scale-up site,https://www.globenewswire.com/news-release/2025/03/17/3043425/0/en/Taiho-Pharmaceutical-to-Acquire-Next-Generation-ADC-Drug-Discovery-Company-Araris-Biotech.html,adc,Tier 2,5,industry=3/3 capability=1/2 size=0/2 trigger=1/2,,,,,,,,,,,,,,,,,,
BioNTech Idar-Oberstein,DEU,Idar-Oberstein,,vaccines,research,mRNA (clinical / personalized cancer),iNeST line scale-up,https://www.biontech.com,oncology_general,Tier 2,5,industry=2/3 capability=2/2 size=0/2 trigger=1/2,,-1.374903175832688,0.9714512291831879,11.168503127150625,post_ipo_debt,2025-10-13,1995882947,,,,,500000000,1000000000,2008,,2019-10-09,293994,4001311
BioNTech Manufacturing Marburg GmbH,DEU,Marburg (Behringwerke campus),,vaccines,research,mRNA (DS),"Capacity expansion to 1B doses, ~€100M tooling 2024–25",https://www.biontech.com/int/en/home/pipeline-and-products/manufacturing/our-marburg-site.html,,Tier 2,5,industry=2/3 capability=2/2 size=0/2 trigger=1/2,,-1.374903175832688,0.9714512291831879,11.168503127150625,post_ipo_debt,2025-10-13,1995882947,,,,,500000000,1000000000,2008,,2019-10-09,293994,4001311
Cellca / Sartorius,DEU,Ulm,,late_stage_biotech,research,Cell line dev (CDMO-adjacent),Ulm site expansion ongoing,https://www.sartorius.com/,,Tier 2,5,industry=3/3 capability=1/2 size=0/2 trigger=1/2,,0.0,0.0,0.0,,,,,,,,0,0,,,,47,32535622
iOmx Therapeutics,DEU,Martinsried,,late_stage_biotech,research,I/O antibody (LILRB1/2),None — CDMO; CTA Q4 2024 triggers future scale-up,https://www.bio-m.org/en/news/news-detail/iomx-sammelt-65-millionen-euro-ein.html,,Tier 2,5,industry=3/3 capability=1/2 size=0/2 trigger=1/2,,20.0,9.090909090909092,29.535378613229295,,,0,,,,,1000000,2500000,1997,,,14609,9140855
Pharming Group (recombinant adj.),NL (DACH COMMERCIAL,Leiden HQ; DE/AT/CH sales,n/a in DACH,"plasma_fractionation,specialty_orphan",research,"HAE — Ruconest (rhC1-INH); Leniolisib (APDS, ultra-rare immunology)",Own recombinant biologics mfg (transgenic-rabbit milk + downstream); commercializes directly in DE/AT,https://www.pharming.com/,,Excluded,5,industry=3/3 capability=2/2 size=0/2 trigger=0/2,non_target_country,,,,,,,,,,,,,,,,,
Valneva Austria GmbH,AUT,Vienna (HQ + DS),,vaccines,research,"Inactivated (Ixiaro JE, IXCHIQ chikungunya), Lyme candidate",€30M Vienna fill-finish + chikungunya scale-up 2024,https://valneva.com/about/locations/,,Tier 2,5,industry=2/3 capability=2/2 size=0/2 trigger=1/2,,-2.39880059970015,-1.5128593040847202,30.11006835824354,post_ipo_equity,2026-04-30,1112209892,,,,,500000000,1000000000,2013,,2007-06-29,56149,42467
Novartis,CHE,Münchenstein,83400,originator_pharma,crustdata+research,"Pharmaceutical Manufacturing / Novartis is an innovative medicines company. Every day, working to reimagine med",CHF 300M Stein radioligand plant (2024 inauguration); CHF 250M Stein solid-dosage upgrade,http://www.novartis.com,radiopharma,Tier 3,4,industry=2/3 capability=2/2 size=0/2 trigger=0/2,,7.438229459201814,0.9306434631070664,13.025653626892078,post_ipo_debt,2024-06-19,2494194394,,,,,1000000000,1000000000000,1996,,2000-05-19,4599692,1406
Boehringer Ingelheim,DEU,Ingelheim am Rhein,46448,"originator_pharma,vaccines",crustdata+research+research,"Pharmaceutical Manufacturing / Our people are our strength. And together with over 54,000 colleagues, we're cre",EUR 1.2B Biberach biologics plant (start-up 2025); EUR 145M Ingelheim solid-dosage modernisation,http://www.boehringer-ingelheim.com,oncology_general,Tier 3,4,industry=2/3 capability=2/2 size=0/2 trigger=0/2,,2.790625622413526,0.6784436978432861,15.065969693592738,,,0,,,,,1000000000,1000000000000,,,,2219962,3235
Merck Group,DEU,Darmstadt,32462,originator_pharma,crustdata,Pharmaceutical Manufacturing / This channel is not intended for U.S. and Canadian visitors. Merck operates in t,3.139098938806634% growth,http://www.merckgroup.com,,Tier 3,4,industry=2/3 capability=1/2 size=0/2 trigger=1/2,,3.139098938806634,0.838717693836978,23.850672391248967,grant,2023-03-02,2755636,,,,,1000000000,1000000000000,1987,,2002-01-11,1686944,1485
Merck KGaA Life Science,DEU,Darmstadt,"~24,000 (LS)",vaccines,research,"mRNA raw materials: nucleotides, capping reagents, lipids, filtration",,https://www.merckgroup.com/,,Tier 3,4,industry=2/3 capability=2/2 size=0/2 trigger=0/2,,4.0,0.0,0.0,,,,,,,,20000000,50000000,1979,,,48,64337028
Sartorius Stedim Biotech,DEU,Göttingen,"~14,000","bioprocess_vendors,vaccines",research,"Single-use bioreactors, filtration, fill-finish equipment for vaccines",,https://www.sartorius.com/,,Tier 3,4,industry=2/3 capability=2/2 size=0/2 trigger=0/2,,0.0,0.0,0.0,,,,,,,,0,0,,,,47,32535622
F. Hoffmann-La Roche AG,CHE,"Basel, Kaiseraugst","~10,500 (Basel/Kaiseraugst)",originator_pharma,research,"Oncology, immunology, ophthalmology (Vabysmo), neurology",CHF 1.2B Kaiseraugst aseptic fill-finish + biologics 2023–2026,https://www.roche.com/media/releases/med-cor-2023-09-25,oncology_general,Tier 3,4,industry=2/3 capability=2/2 size=0/2 trigger=0/2,,,,,,,,,,,,0,0,,,,,32864556
University of Geneva,CHE,Geneva,6866,academic_gmp,crustdata,"Research Services / The Academy of Geneva was officially founded in 1559 by two eminent Reformers, J",0.7040187738339688% growth,http://www.unige.ch/,,Excluded,4,industry=1/3 capability=1/2 size=1/2 trigger=1/2,industrial_false_positive,0.7040187738339688,0.6892506232585422,0.0,grant,2025-05-21,50000,,,,,1000000000,1000000000000,,,,209690,166637
Grünenthal Group,DEU,Aachen,4660,originator_pharma,crustdata+research,Pharmaceutical Manufacturing / Grünenthal is a global leader in pain management and related diseases. As a scie,EUR 90M Aachen API + solid-dose modernisation 2024–2025,http://www.grunenthal.com,,Tier 3,4,industry=2/3 capability=1/2 size=1/2 trigger=0/2,,0.561070349589987,1.0845986984815619,20.707922322457353,debt_financing,2024-11-27,828174965,,,,,500000000,1000000000,1946,,,171806,164071
Schott Pharma AG & Co. KGaA,DEU,Mainz,"~4,600",medical_cannabis,research,Packaging (Type I borosilicate vials/cartridges for cannabinoid injectables),,https://www.schott-pharma.com,,Tier 3,4,industry=2/3 capability=1/2 size=1/2 trigger=0/2,,7.949412827461607,2.4871355060034306,33.106823693927936,,,0,,,,,0,0,2022,,,60919,10909015
Takeda Manufacturing Austria AG (ex-Baxalta/Baxter),AUT,"Vienna (Orth/Donau, Linz)","4,500",sterile_generics,research,,EUR 250M Vienna plasma-fractionation 2024–25; Linz sterile-fill,takeda.com/austria,,Tier 3,4,industry=3/3 capability=0/2 size=1/2 trigger=0/2,,,,,,,,,,,,0,0,,,,,36438464
DMG MORI,DEU,Munich,4458,vaccines,crustdata,Machinery Manufacturing / DMG MORI is a leading global manufacturer of high-precision machine tools and is,4.013065795613626% growth,http://www.dmgmori.com,,Excluded,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,industrial_false_positive,4.013065795613626,0.5639521768554027,21.428946677173627,,,0,,,,,1000000000,1000000000000,2002,,,231140,11099415
Trelleborg Sealing Solutions,DEU,Stuttgart,3861,vaccines,crustdata,"Mechanical Or Industrial Engineering / We are one of the world’s leading developers, manufacturers and suppliers of pre",2.0348837209302326% growth,http://www.trelleborg.com/seals,,Excluded,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,industrial_false_positive,2.0348837209302326,0.8884243532793311,19.33887264707391,,,,,,,,0,0,1952,,,46535,9553888
Leipzig University,DEU,Leipzig,3669,veterinary_pharma,crustdata,Higher Education / Universität Leipzig was founded in 1409 and is thus the second oldest university,2.9461279461279464% growth,http://www.uni-leipzig.de/,,Excluded,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,industrial_false_positive,2.9461279461279464,0.7690195001373249,0.0,,,0,,,,,500000000,1000000000,,,,82381,22593
HYDAC Group,DEU,Sulzbach,3443,vaccines,crustdata,"Machinery Manufacturing / HYDAC is a global technology partner for mobile machinery, industrial equipment,",5.290519877675841% growth,https://www.hydac.com,,Excluded,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,industrial_false_positive,5.290519877675841,2.196497476996141,39.36241478504157,,,0,,,,,1000000000,1000000000000,1963,,,35366,18571988
KHS Group,DEU,,3356,vaccines,crustdata,Machinery Manufacturing / KHS is one of the world's leading manufacturers of filling and packaging systems,4.22360248447205% growth,https://www.khs.com/,,Excluded,4,industry=2/3 capability=0/2 size=1/2 trigger=1/2,industrial_false_positive,4.22360248447205,1.4817054732385848,18.259316480939702,,,0,,,,,1000000000,1000000000000,,,,107927,16915
Bilfinger Industrietechnik / Pharma Solutions,DEU,Mannheim + Frankfurt,"~3,000",bioprocess_vendors,research,"Modular cleanroom skids, fill-finish lines, isolators (engineering+OEM)",,https://www.bilfinger.com/en/expertise/industries/pharma/,,Tier 3,4,industry=0/3 capability=2/2 size=2/2 trigger=0/2,,-1.4563106796116505,0.0,0.0,,,,,,,,2500000,5000000,,,,54,8319975
Datwyler Pharma Packaging,CHE,Altdorf,"~3,000 (CH ops)",vaccines,research,"Rubber stoppers, plungers, seals for vaccine vials/syringes",,https://www.datwyler.com/,,Tier 3,4,industry=2/3 capability=0/2 size=2/2 trigger=0/2,,4.545454545454546,-4.166666666666666,0.0,,,,,,,,100000000,500000000,1990,,,399,86699668
GEA Group — Pharma Liquid & Powder,DEU,Düsseldorf / Hürth,"~3,000 (DE pharma)",bioprocess_vendors,research,"Liquid dosing, freeze drying, aseptic processing",,https://www.gea.com/en/products/pharmaceutical/,,Tier 3,4,industry=0/3 capability=2/2 size=2/2 trigger=0/2,,0.0,3.8461538461538463,0.0,,,,,,,,500000,1000000,,,,13,28561075
Glatt Group,DEU,Binzen + Weimar,"~3,000",bioprocess_vendors,research,"Fluid bed, granulation, coating, containment for biologics drying",,https://www.glatt.com/en/company/locations/,cytostatika_hpapi,Tier 3,4,industry=0/3 capability=2/2 size=2/2 trigger=0/2,,6.866416978776529,0.5875440658049353,0.0,,,0,,,,,500000000,1000000000,1954,,,44485,2718193
Hamilton Bonaduz / Hamilton Robotics,CHE,Bonaduz / Domat-Ems,"~2,500",bioprocess_vendors,research,"Microlab STAR, Vantage, Arc sensors, bioreactor probes",,https://www.hamiltoncompany.com/automated-liquid-handling/visit-hamilton,,Tier 3,4,industry=0/3 capability=2/2 size=2/2 trigger=0/2,,,,,,,,,,,,500000,1000000,,,,,8717493
GSK (GlaxoSmithKline GmbH),DEU,"Dresden, München","~2,200 (DE)",originator_pharma,research,"Vaccines (Influsplit, Shingrix bulk), respiratory",EUR 100M Dresden vaccines & inhaler line 2024–2025,https://de.gsk.com/de-de/presse,,Tier 3,4,industry=2/3 capability=0/2 size=2/2 trigger=0/2,,,,,,,,,,,,,,,,,,
Exyte (M+W Group) Life Sciences,DEU,Stuttgart,"~2,000 (DE life sci)",bioprocess_vendors,research,"Cleanroom EPC, biotech facility build",,https://www.exyte.net/en/expertise/life-sciences,,Excluded,4,industry=0/3 capability=2/2 size=2/2 trigger=0/2,direct_competitor,,,,,,,,,,,,,,,,,
Aristo Pharma,DEU,Berlin (HQ) + Hilden + Wernigerode + Madrid,"~1,750 (group)",originator_pharma,research,Generics+originator branded; 5 own production sites,Coater + fluid bed granulator added 2021; ongoing,https://www.aristo-pharma.com/,,Tier 3,4,industry=2/3 capability=0/2 size=2/2 trigger=0/2,,,,,,,,,,,,,,,,,,
Agentur für Gesundheit und Ernährungssicherheit (AGES),AUT,Vienna,"~1,500",academic_gmp,research,"OMCL GMP batch release labs, pharma & vet reference",,https://www.ages.at,,Tier 3,4,industry=1/3 capability=1/2 size=2/2 trigger=0/2,,0.0,0.0,0.0,,,,,,,,0,0,2002,,,217,65138940
Klosterfrau Healthcare Group,DEU,"Berlin, Köln","~1,500",originator_pharma,research,"OTC, branded (Klosterfrau Melissengeist, Soledum)",~€60m invested in Berlin production (recent 4 yrs),https://www.klosterfrau.de/presse,,Tier 3,4,industry=2/3 capability=0/2 size=2/2 trigger=0/2,,0.684931506849315,0.0,9.701492537313433,,,,,,,,0,0,,,,588,41122119
Norgine Germany,DEU,Marburg / Holzminden,"~1,500 group; DE site ~250",specialty_orphan,research,"Rare (eflornithine HAT, AGILUS, SIKLOS sickle-cell, ORPHACOL bile-acid, mavorixafor WHIM)",Own mfg site in Hengoed (UK) + DE finishing; Theravia integration,https://pharmaceuticalmanufacturer.media/pharmaceutical-industry-insights/an-inside-look-at-norgine/,,Tier 3,4,industry=2/3 capability=0/2 size=2/2 trigger=0/2,,10.0,10.0,0.0,,,0,,,,,1000000,2500000,2001,,,8228,5709078
Octapharma Pharmazeutika Produktionsges.m.b.H.,AUT,Wien,"~1,500 (Vienna site)",specialty_orphan,research,Haemophilia / immunology plasma (own manufacturing),,https://www.octapharma.com/news/press-release/2025/octapharma-expands-production-for-the-global-market-at-its-manufacturing-site-in-vienna,,Tier 3,4,industry=2/3 capability=0/2 size=2/2 trigger=0/2,,0.0,0.0,0.0,,,,,,,,500000,1000000,,,,9,6773773
Robert Koch-Institut (RKI),DEU,Berlin,"~1,500",academic_gmp,research,"Reference labs (BSL-3/4); pathogen reference materials, not commercial GMP mfg",,https://www.rki.de,,Tier 3,4,industry=1/3 capability=1/2 size=2/2 trigger=0/2,,5.8886509635974305,0.8154943934760449,49.638337823495796,,,0,,,,,0,0,,,,91646,1224928
West Pharmaceutical Services Deutschland,DEU,Eschweiler,"~1,500 (DE)",vaccines,research,"Elastomer stoppers, NovaPure components for vaccine vials",,https://www.westpharma.com/,,Tier 3,4,industry=2/3 capability=0/2 size=2/2 trigger=0/2,,1.5873015873015872,0.0,0.0,,,,,,,,0,0,,,,208,23097615
Angelini Pharma Deutschland GmbH,DEU,"Heidenheim (DE), Wien (AT, ex-Arcana)","~1,400 (DACH)",originator_pharma,research,"CNS (Trazodon, Buccolam), consumer health, women's health",EUR 30M Heidenheim solid-dose capacity 2024,https://www.angelinipharma.com/press-releases,,Tier 3,4,industry=2/3 capability=0/2 size=2/2 trigger=0/2,,3.937007874015748,0.9174311926605505,21.583403427972588,grant,2023-07-13,1683532,,,,,500000000,1000000000,1919,,,176347,42134318
Bilfinger Greylogix / ZETA GmbH,AUT,Lieboch (Graz),"~1,400",bioprocess_vendors,research,"Bioreactors, media/buffer systems, CIP/SIP skids, modular cleanrooms",,https://www.zeta.com/en/company/locations/,,Excluded,4,industry=0/3 capability=2/2 size=2/2 trigger=0/2,direct_competitor,,,,,,,,,,,,,,,,,
Astellas Pharma GmbH,DEU,"München, Meppen, Hamburg (Hagedorn)","~1,300",originator_pharma,research,"Oncology (Xtandi), urology, transplant",EUR 60M Meppen/Hagedorn upgrade announced 2024,https://www.astellas.com/en/news,oncology_general,Tier 3,4,industry=2/3 capability=0/2 size=2/2 trigger=0/2,,5.237078171721486,1.7259889338508547,29.722789975311898,grant,2020-07-22,0,,,,,1000000000,1000000000000,2005,,1949-05-16,708302,33408697
Biologische Heilmittel Heel,DEU,Baden-Baden,"~1,300 (800 DE)",originator_pharma,research,Homeopathic combination preparations,~90m ampoules/yr; ongoing Baden-Baden investments,https://www.heel.de/,,Tier 3,4,industry=2/3 capability=0/2 size=2/2 trigger=0/2,,-21.052631578947366,-6.25,28.457059679767106,,,0,,,,,500000000,1000000000,1936,,,1765,83995791
Almirall Hermal GmbH,DEU,Reinbek (Hamburg),"~1,200","originator_pharma,specialty_orphan",research,"Dermatology (Skilarence, Klisyri, Wynzora)",EUR 50M Reinbek topical/semisolid line 2024–2025,https://www.almirall.com/newsroom,,Tier 3,4,industry=2/3 capability=0/2 size=2/2 trigger=0/2,,6.779661016949152,3.278688524590164,52.80748663101604,,,0,,,,,500000000,1000000000,1943,,,1143,12762013
Bayerisches Landesamt für Gesundheit und Lebensmittelsicherheit (LGL),DEU,Erlangen,"~1,200",academic_gmp,research,"OMCL pharma testing, GMP inspection support",,https://www.lgl.bayern.de,,Tier 3,4,industry=1/3 capability=1/2 size=2/2 trigger=0/2,,,,,,,,,,,,,,,,,,
Bundesinstitut für Arzneimittel und Medizinprodukte (BfArM),DEU,Bonn,"~1,200",academic_gmp,research,"Authorisation, GMP inspection oversight (no own mfg)",,https://www.bfarm.de,,Tier 3,4,industry=1/3 capability=1/2 size=2/2 trigger=0/2,,9.535452322738386,1.5873015873015872,82.81892175034248,,,0,,,,,0,0,1994,,,22686,3847504
Cytiva (Danaher),DEU,Freiburg / Marlborough DE ops,"~1,200",bioprocess_vendors,research,"Chromatography (AKTA), Xcellerex bioreactors, FlexFactory",,https://www.cytivalifesciences.com/en/us/about-us/locations/fast-trak,,Tier 3,4,industry=0/3 capability=2/2 size=2/2 trigger=0/2,,0.0,0.0,0.0,grant,2023-06-27,0,,,,,0,0,2020,acquired,,5,94940758
